status,path,cluster,owner,risk_level
A,.codex/instructions.md,Misc,Misc,medium
A,.github/workflows/bug-triage.yml,CI,CI,medium
A,.github/workflows/docs-checks.yml,CI,CI,medium
A,.github/workflows/economic_theorem_ci.yml,CI,CI,medium
A,.github/workflows/ffi-binding-quality.yml,CI,CI,medium
A,.github/workflows/ffi-status.yml,CI,CI,medium
A,.github/workflows/lean_theorem_integration.yml,CI,CI,medium
A,.github/workflows/pr-environments.yml,CI,CI,medium
A,.github/workflows/prover.yml,CI,CI,medium
M,.gitignore,Misc,Misc,medium
M,.husky/pre-commit,Misc,Misc,medium
A,SYSTEM_COMPONENTS.json,Misc,Misc,medium
A,codex-cli/src/agents/gamas-ffi.ts,Misc,Misc,medium
A,codex-cli/src/boot-sequence/boot-component.tsx,Misc,Misc,medium
A,codex-cli/src/boot-sequence/boot-progress.tsx,Misc,Misc,medium
A,codex-cli/src/boot-sequence/boot-sequence-renderer.ts,Misc,Misc,medium
A,codex-cli/src/boot-sequence/boot-sequence-renderer.tsx,Misc,Misc,medium
A,codex-cli/src/boot-sequence/boot-sequence.ts,Misc,Misc,medium
A,codex-cli/src/boot-sequence/boot-status.ts,Misc,Misc,medium
A,codex-cli/src/boot-sequence/boot-telemetry.ts,Misc,Misc,medium
A,codex-cli/src/boot-sequence/dependency-manager.ts,Misc,Misc,medium
A,codex-cli/src/boot-sequence/index.ts,Misc,Misc,medium
A,codex-cli/src/commands/self-heal/index.ts,Misc,Misc,medium
A,codex-cli/src/commands/self-heal/monitor.ts,Misc,Misc,medium
A,codex-cli/src/commands/self-heal/recover.ts,Misc,Misc,medium
A,codex-cli/src/commands/self-heal/status.ts,Misc,Misc,medium
A,codex-rs/a2a/Cargo.toml,Misc,Misc,medium
A,codex-rs/a2a/MOCK_IMPLEMENTATION_README.md,Misc,Misc,medium
A,codex-rs/a2a/SELF_HEALING_IMPLEMENTATION_ISSUES.md,Misc,Misc,medium
A,codex-rs/a2a/SELF_HEALING_IMPLEMENTATION_PLAN.md,Misc,Misc,medium
A,codex-rs/a2a/src/agent.rs,Misc,Misc,medium
A,codex-rs/a2a/src/capability.rs,Misc,Misc,medium
A,codex-rs/a2a/src/error.rs,Misc,Misc,medium
A,codex-rs/a2a/src/lib.rs,Misc,Misc,medium
A,codex-rs/a2a/src/message.rs,Misc,Misc,medium
A,codex-rs/a2a/src/mock.rs,Misc,Misc,medium
A,codex-rs/a2a/src/protocol.rs,Misc,Misc,medium
A,codex-rs/a2a/src/registry.rs,Misc,Misc,medium
A,codex-rs/a2a/src/security.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/adaptive_config.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/circuit_breaker.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/coordinator.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/factory.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/ga_mas.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/genetic.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/health_monitor.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/mod.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/performance_metrics.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/recovery.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/test_doubles.rs,Misc,Misc,medium
A,codex-rs/a2a/src/self_heal/tests/ga_mas_tests.rs,Misc,Misc,medium
A,codex-rs/a2a/tests/minimal_health_test.rs,Misc,Misc,medium
A,codex-rs/a2a/tests/mock_test.rs,Misc,Misc,medium
A,codex-rs/a2a/tests/self_heal_tests.rs,Misc,Misc,medium
A,codex-rs/a2a/tests/standalone_health_test.rs,Misc,Misc,medium
A,codex-rs/a2a/tests/super_minimal_test.rs,Misc,Misc,medium
A,codex-rs/boot-sequence/ARCHITECTURE.md,Misc,Misc,medium
A,codex-rs/boot-sequence/COMPONENT-MODEL.md,Misc,Misc,medium
A,codex-rs/boot-sequence/Cargo.toml,Misc,Misc,medium
A,codex-rs/boot-sequence/ENHANCED-BOOT-SEQUENCE-SPECIFICATIONS.md,Misc,Misc,medium
A,codex-rs/boot-sequence/ENHANCED-BOOT-SEQUENCE-SUMMARY.md,Misc,Misc,medium
A,codex-rs/boot-sequence/HMS-CROSS-CLOUD-NETWORK-ARCHITECTURE.md,Misc,Misc,medium
A,codex-rs/boot-sequence/HMS-MULTI-CLOUD-DEPLOYMENT-PLAN.md,Misc,Misc,medium
A,codex-rs/boot-sequence/INTEGRATION-PLAN.md,Misc,Misc,medium
A,codex-rs/boot-sequence/README.md,Misc,Misc,medium
A,codex-rs/boot-sequence/USER-GUIDE.md,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter-architecture.md,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter-implementation-plan.md,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter-optimized-implementation-plan.md,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter-plan-analysis.md,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/.github/workflows/ci.yml,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/.github/workflows/release.yml,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/bin/codex-tmuxai,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/completion-steps-analysis.md,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/config/default.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/config/integration.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/implementation-plan.md,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/jest.config.js,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/optimized-implementation-plan.md,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/package.json,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/scripts/generate-docs.js,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/api/controllers.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/api/index.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/api/routes.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/cli/commands.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/cli/handlers.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/cli/index.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/components/animation-viewer.tsx,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/components/documentation-viewer.tsx,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/components/index.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/controllers/animation-controller.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/controllers/diagram-controller.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/controllers/index.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/index.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/integration/codex-cli-connector.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/integration/codex-rs-connector.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/integration/hms-integration.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/integration/index.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/integration/nfo-connector.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/models/agency.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/models/animation.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/models/component.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/models/diagram.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/models/index.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/models/integration.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/utils/agency-data-processor.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/utils/file-utils.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/utils/index.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/src/utils/mermaid-generator.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/api/controllers.test.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/api/routes.test.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/cli/commands.test.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/cli/handlers.test.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/controllers/animation-controller.test.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/controllers/diagram-controller.test.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/helpers.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/integration/codex-cli-connector.test.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/integration/codex-rs-connector.test.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/integration/hms-integration.test.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/integration/nfo-connector.test.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/mocks/index.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/mocks/mock-agencies.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/mocks/mock-animations.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/mocks/mock-components.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/mocks/mock-diagrams.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/mocks/mock-integrations.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/models/agency.test.ts,Misc,Misc,medium
A,codex-rs/boot-sequence/codex-tmuxai-adapter/tests/models/animation.test.ts,Misc,Misc,medium
